NAME,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C,RECORDTYPEID,PROPOSAL_FUNDER__C
International Rammed Earth Housing Project,49475,International Rammed Earth Housing Project,University of Colorado at Colorado Springs, ,2010-08-31,2010-10-15, , ,"Earthen materials in general and rammed earth in particular have been used for construction since time immemorial. Some earthen structures built centuries ago are still performing satisfactorily today. Rammed earth construction entails the compaction of soil consisting of a mixture of clay and loose grains to create structural elements, most commonly walls. Rammed earth construction is appealing for many reasons, including the use of building materials resident at the building site (the soil) and the significant insulating properties of the earthen walls. The primary impediment to large scale adoption of this construction technique is the cost of labor, as construction of rammed earth structures is labor intensive. It is ideal, however, as a construction option in many parts of the world where traditional construction materials are scarce and shelter is desperately needed. Proposed herein is the design, construction, and testing of a self-contained rammed earth construction kit that can be easily transported anywhere in the world and used in the construction of numerous structures in developing areas using as the primary building material the local soil. A senior design team from the Department of Mechanical and Aerospace Engineering at the University of Colorado at Colorado Springs will take on this design effort as partial fulfillment of the requirements of their senior design program. Upon completion of this initial design effort, a full-scale prototype will be constructed and tested, and a pilot construction project in partnership with Habitat for Humanity International will be initiated.",1007813,Not Accepted,7813-10,0017000001LSVo8AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Sustainable Sanitation in Urban Slums (Sanergy),49900,Sustainable Sanitation in Urban Slums (Sanergy),Massachusetts Institute of Technology,49900,2010-09-29,2010-10-15,2012-12-31,2011-04-01,"2.6 billion people lack access to adequate sanitation. The resulting disease causes 2 million deaths and costs $84 billion in worker productivity annually. In slums, where over 1 billion live, high population densities combined with a lack of infrastructure and resources make the problem particularly acute: 80% lack basic sanitation.       Solving the global sanitation crisis requires more than simply building toilets. Our team from MIT is taking an innovative systems-based approach to pioneer a model for low-cost off-grid infrastructure that provides safe, clean and affordable sanitation to the 10 million slum dwellers in Kenya.       Through MIT Media Lab and D-Lab, we are developing a low-cost (<$200) prefabricated ferrocement toilet (versus $25,000 solutions at present) and a bicycle-powered exhaustion pump for pit latrines. This technology is combined with a holistic deployment strategy: a dense micro-franchised network of sanitation centers, a low-cost waste collection infrastructure, and a centralized processing facility that converts waste into biogas, electricity, and fertilizer that is sold commercially. This novel business model creates a sanitation cycle that is environmentally, socially, and financially sustainable.      With Carolina for Kibera, our community partner in Kenya, we spent the summer deploying two small pilots. The NCIIA grant will enable us to improve the sanitation facility design, establish a fabrication workshop in Nairobi, train local workers, and expand the pilot.",1007919,Funded,7919-10,0017000001LSVuHAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Accelerating Innovation and Social Entrepreneurship through Creativity Capacity Building,50000,Accelerating Innovation and Social Entrepreneurship through Creativity Capacity Building,Massachusetts Institute of Technology,11000,2010-10-03,2010-10-18,2013-09-01,2011-04-01,"Creative Capacity Building (CCB) is an emergent methodology, developed at D-Lab at MIT, which emphasizes the ability of people living in poverty to create technologies that can improve their lives and livelihoods. At the heart of this approach is a curriculum that teaches people, regardless of prior training or educational level, a technology design process they may use to harness their creativity and ingenuity to produce machines and tools that speed up harvesting and food processing, improve community health and hygiene, produce energy, or generate income. A key component of the follow-up to the CCB training is a space where people can come together and apply what they have learned to design and build technologies that can positively affect their lives. These workshops ideally serve as a nexus of creativity, where people can learn about new technologies, obtain new practical skills, incubate micro-enterprises, and sell the technologies they create. This proposal outlines a collaboration between D-Lab and Global Cycle Solutions to foster innovation and social entrerprise in Arusha, Tanzania through the creation of a community based workshop that focuses on livelihood technologies and business incubation. The Accelerating Innovation and Social Entrepreneurship (AISE) Workshop will serve as a pilot  for a network of workshops that will challenge and empower everyday people to become creators of technologies that can improve their lives.",1007939,Funded,7939-10,0017000001LSVuHAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Safe Agua Peru: Water System Innovations Breaking the Cycle of Poverty,50000,Safe Agua Peru: Water System Innovations Breaking the Cycle of Poverty,Art Center College of Design,50000,2010-10-04,2010-10-15,2012-12-31,2011-04-01,"Clean water is essential to life.  For slum dwellers with no access, lack of water and sanitation translates into poor health and economic hardship.  In 2009, Art Center s Designmatters Department and the Innovation Center of the non-profit organization Un Techo Para mi Pais addressed the issue of water provision for families in Chile s slums by designing products and systems for safe water access, storage, transportation, and conservation.  The results of field research and design development with a multidisciplinary team of faculty and students yielded the six design-centric, low-cost solutions of the Safe Agua Chile project.  Successful implementation of these solutions with government and corporate support has encouraged Art Center and Un Techo to investigate replicability in similar communities in need.  Art Center respectfully requests a grant of $50,000 from the NCIIA to support Designmatters  ongoing partnership with Un Techo with the new Safe Agua Peru project, expanding upon the innovative solutions in Lima, Peru.  This new project will again be academically based and will benefit a population who has an additional challenge in paying a high cost for safe water. The project will achieve the following objectives:     Acquaint residents with prior outcomes and study their viability for 35 test families      In collaboration with these families, identify specific and new needs related to safe water provision     Create and test new design-driven innovations that can translate into affordable, sustainable solutions and can have replication potential at a much larger scale.   ",1007948,Funded,7948-10,0017000001LSVqsAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Anza Social Entrepreneurship Fellowship,50000,Anza Social Entrepreneurship Fellowship,Brown University,45000,2010-10-07,2010-10-18,2012-06-30,2011-04-01,"Anza is a technology-focused international development start-up founded by recent Brown University graduates that sells low-cost, poverty alleviating products made from recycled materials to villagers in rural Africa. By harnessing the most unusual of raw materials - trash - Anza makes breakthrough products at a price $1-a-day farmers can afford.  Anza  is the Swahili word for start, and the path out of poverty starts here. Backed by the Sustainable Vision Grant, Brown University will partner with Anza to set up a Social Entrepreneurship Fellowship to provide field experience to students while helping Anza bring their latest product to market in Tanzania: a revolutionary pushcart that provides farmers with a 5x-10x return on investment. Six students (3 business and 3 engineering concentrators) will have the opportunity to spend the summer refining Anza s cart design and business model in Northern Tanzania. The Anza Social Entrepreneurship Fellowship has two goals:       1. Provide Anza with an influx of driven and creative students to help Anza leverage its innovative cart and strong organizational partnerships to lift over 50,000 Tanzanian farmers out of poverty in Anza s first year of mass production.      2. Brown University has a first rate social entrepreneurship program, but it lacks opportunities for students to apply their knowledge outside of the classroom. This fellowship will fill that void by providing social entrepreneurship students at Brown University with the opportunity to use their academic background to create tangible social change in East Africa.",1007965,Funded,7965-10,0017000001LSVvIAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
A Multi-Hazard-Resilient Residential Housing Model for Haiti: Rebuilding Communities and Livelihoods through Sustainable Partitioning (Engineering to Empower),49980,A Multi-Hazard-Resilient Residential Housing Model for Haiti: Rebuilding Communities and Livelihoods through Sustainable Partitioning (Engineering to Empower),University of Notre Dame,42480,2010-10-08,2010-10-15,2014-12-31,2011-04-01,"Haitian housing trends are predicated on cultural and environmental requirements, subject to practical constraints related to the lack of native resources, income, education and government oversight. These factors provide an important context to understanding the causes for the widespread destruction after the January 2010 earthquake, but sadly create what may be the most difficult reconstruction effort following any major disaster. Based on personal reconnaissance in Haiti, the PIs have identified the need for a completely new housing paradigm for Haiti resulting from unique requirements and constraints, but with the capacity to withstand the dual threat of hurricanes and earthquakes. This proposal presents this paradigm, which is part of a comprehensive redevelopment plan for Léogâne, Haiti, but with specific focus on a new sustainable partitioning system for housing called Vèt Miray (Green Wall). Using mechanically processed agricultural waste products, Vèt Miray has the potential to not only significantly alleviate the risk posed by the cement masonry units used widely before the quake, but also addresses other Haitian societal issues related to waste disposal and economic opportunity by providing a new green industry to the region most affected by the earthquake. This proposal has the following objectives:        Experimentally verify the material properties of processed Haitian agricultural waste products and model various prototypes of Vèt Miray to determine their performance as part of structural frames      Identify a simplified manufacturing process for Vèt Miray suitable for translation to Haiti     Develop an appropriate entrepreneurial model for Vèt Miray production in Haiti   ",1007978,Funded,7978-10,0017000001LSVzkAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Engaging Ethiopian Students to Explore the Viability of Cyanobacterial Bio-fertilizer Production to Improve Soil Fertility and Crop Yields in Africa (Thin Air Solutions),50000,Engaging Ethiopian Students to Explore the Viability of Cyanobacterial Bio-fertilizer Production to Improve Soil Fertility and Crop Yields in Africa (Thin Air Solutions),Colorado State University,45200,2010-10-12,2010-10-15,2012-12-31,2011-04-01,"Soil fertility depletion on smallholder farms is a fundamental cause of poverty, hunger, and malnutrition in large parts of the developing world.  For example, < 5 kg/ha fertilizer nutrients (N, P, and K) are applied to food crops in Africa on average, the lowest fertilizer use rates in the world; this has led to declining yields and incomes. This project explores the use of locally-grown cyanobacterial bio-fertilizer to empower people and improve soil fertility, crop yields, and living standards in the developing world. Producing bio-fertilizer locally could be inexpensive, and does not require extensive infrastructure, circumventing two key constraints to improving soil fertility in rural areas of the developing world. The main objectives of this project are to: 1) evaluate the key design constraints to outdoor production (raceway construction, aeration, harvesting) of cyanobacterial bio-fertilizer; 2) measure the plant-availability and yield impact of bio-fertilizer nitrogen; and, 3) calculate costs, benefits, and economic feasibility of bio-fertilizer production in Ethiopia. The project will utilize an existing collaboration with Prof. Endalkachew Wolde-meskel at Hawassa University in Ethiopia, who will advise Ethiopian graduate students funded through this proposal. Collaborators in the United States will contribute scientific and business expertise. This research will demonstrate the feasibility of bio-fertilizer production in Ethiopia, and pave the way for large-scale implementation by local entrepreneurs. Cyanobacterial bio-fertilizer technology has the potential to reduce or alleviate declining soil fertility in Ethiopia, and someday may hold the key to feeding the hungry worldwide; this project is the critical first step.",1008011,Funded,8011-10,0017000001LSVvwAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Increasing Smallholder Farmer Income through Appropriate Technology in the Jatropha Biofuel Value Chain in Guatemala,49951,Increasing Smallholder Farmer Income through Appropriate Technology in the Jatropha Biofuel Value Chain in Guatemala,University of Colorado at Boulder,49951,2010-10-12,2010-10-13,2013-06-30,2011-04-01,"In Guatemala, roughly half the population lives on less than $2 a day and the majority of rural households are concentrated in subsistence agriculture of low value crops. In addition, the country is entirely dependent on unsustainable fuel sources including firewood for cooking and imported fossil fuel products. To address these issues, TechnoServe, an NGO in Guatemala began the Biodiesel for Rural Development project in 2006 to demonstrate the viability of a biodiesel value chain based on Jatropha curcas to reduce rural poverty and dependency on unsustainable fuel sources. The production of biodiesel from Jatropha generates seedstock waste which is currently not being exploited. To provide continuity to this work, the Mortenson Center in Engineering for Developing Communities proposes a partnership with TechnoServe to design and disseminate appropriate technologies to create commercially viable products from the existing Jatropha seedstock waste.  This proposed project will facilitate the creation of competitive rural microenterprises and contribute to the growth of the renewable energy sector. The program objectives are:   1. Determine economic, technical and cultural feasibility of creating commercially viable products from existing Jatropha seed stock waste (fuel briquettes and fertilizers)   2. Broadly disseminate findings and train Jatropha farmers to produce Jatropha fuel briquettes and fertilizer from existing seed stock waste   3. Form competitive and profitable microenterprises in the target communities for production and sale of Jatropha products (fuel briquettes and fertilizers).   ",1008020,Funded,8020-10,0017000001LSW2dAAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
"Continuation and Sustainability in 2011/2012:  The Water, Sanitation, and Health and Hygiene Program (WASH) in Kibera, Kenya",50000,"Continuation and Sustainability in 2011/2012:  The Water, Sanitation, and Health and Hygiene Program (WASH) in Kibera, Kenya",University of Denver,50000,2010-10-12,2010-10-19,2012-12-31,2011-04-01,"The fact that 2.5 billion people lack hygienic sanitation facilities, including 1.2 billion who have no facilities at all, is a primary cause for 1.5 million children deaths each year.  Improved sanitation facilities could reduce diarrheal deaths in young children by more than a third. The Kibera Working Group (KWG) is a collaboration of University of Denver faculty and graduate students, Ecotact, a Nairobi-based company specializing in water and sanitation development programs, and the Rotary Clubs of Denver Southeast and Langata-Nairobi.      The project s main three objective are:      1) Assist residents of Kibera, an informal settlement in Nairobi Kenya, in improving health conditions by improving the technological innovations and associated processes in the water and sanitation systems (WATSAN).      2) Ascertain best practices in facility development and operations in order to create sustainable WATSAN facilities and apply the new model to existing facilities, adapting the technology and associated processes for sustainability and scalaibility.      3) Evaluate and refine our model for sustainability ad scalability.      KWG is nearly finished developing its proposed model; next the model framework will be tested on existing facilities and a full-time project manager in Kenya will be enrolled to oversee the implementation and operation, which includes active participation by Community Based Organizations (CBOs).  Without engaged governance and appropriate and efficacious business and hygiene training, technology alone is insufficient to sustain WATSAN facilities.  Therefore, although this proposal addresses adapting technology, the focus is on the  multiplier effects  beyond infrastructure, which are necessary to deliver a complete solution.      ",1008027,Funded,8027-10,0017000001LSVv0AAH,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
Velovations in Kenya: Co-Development to Sustainable Local Production [Baisikeli Ugunduzi],50000,Velovations in Kenya: Co-Development to Sustainable Local Production [Baisikeli Ugunduzi],Michigan Technological University,47500,2010-10-13,2010-10-15,2016-06-30,2011-04-01,"Velovations is a group of roughly 30 Michigan Tech undergraduates, graduates, researchers, and faculty performing testing, research, and development for the bicycle industry.  Velovations has begun a partnership with Netherlands-based Cycling out of Poverty, stemming from their African Bicycle Design Contest.  Michigan Tech is also the first and only Mechanical Engineering Peace Corps Masters International (PCMI) program.  In cooperation with our PCMI program, and lead by returned Peace Corps volunteers who have worked in Africa, Velovations has identified a set of bicycle product opportunities particular to East Africa.  Over the next three plus years, Velovations will work with Cycling out of Poverty, the African Bicycle Network, and others to identify partners for the co-development of products that at once meet local needs and provide opportunities for local production in East Africa.   Through this program, our students will gain first hand experience in the development of products that lead to sustainable enterprises, collaboration with NGOs, the realities of life in East Africa, a structured innovation process, and entrepreneurship.  We are requesting an NCIIA Sustainable Visions Grant to allow for increased product development capabilities, to enable travel to East Africa to solidify relationships and find new co-development and production partners, to cover prototyping costs, and to cover travel to NCIIA sponsored workshops and conferences over three years.  The NCIIA funds will be a springboard to launch this now permanent part of our Velovations group, this now permanent part of Michigan Tech s educational offerings",1008046,Funded,8046-10,0017000001LSVnYAAX,a2C39000002zYt9EAE,01239000000Ap02AAC,The Lemelson Foundation
