NAME,RECORDTYPEID,AMOUNT_REQUESTED__C,PROPOSAL_NAME_LONG_VERSION__C,APPLYING_INSTITUTION_NAME__C,AWARD_AMOUNT__C,DATE_CREATED__C,DATE_SUBMITTED__C,GRANT_PERIOD_END__C,GRANT_PERIOD_START__C,PROGRAM_COHORT_RECORD_TYPE__C,PROJECT_DESCRIPTION_PROPOSAL_ABSTRACT__C,ZENN_ID__C,STATUS__C,EXTERNAL_PROPOSAL_ID__C,PROPOSAL_FUNDER__C,APPLYING_INSTITUTION__C,PROGRAM_COHORT__C
Designing Technology Platforms for Youth in Uganda (Planning Grant),01239000000Ap02AAC,50000,Designing Technology Platforms for Youth in Uganda (Planning Grant),Art Center College of Design,9700,2012-10-03,2012-11-11,2014-08-31,2013-03-01,Type,"The Media Design Matters (MDM) program at Art Center College of Design will embark on a partnership with UNICEF s Innovation team and the UNICEF Innovation Lab in Kampala, Uganda. The program joins one of the world s leading colleges of design with the expertise of the world s leading organization for the rights and well-being of children and youth. The main objectives of the program are: (1) To develop new information and communication technologies for youth development, empowerment, and expression; and (2) To nurture the formation of interdisciplinary E-Teams that will work with UNICEF specialists and collaborators in local communities in Uganda in the design of these new technologies to ensure their longer-term sustainability and scalability in real-world settings. MDM's faculty combines a strong background in design innovation, ethnographic research methods, and community ICT development, as well as practical methods for creating sustainable social innovations. Talented students will work with this faculty and form their own E-Teams with each other, local researchers, and social innovators with complementary expertise, to identify needs and create new technologies and communication platforms for youth empowerment. The E-Teams and their collaborators will design products and services using methods from open, participatory models of innovation and co-production. Together, they will prototype, test, and refine these technologies, with the aim of building long-term systems for their continued operation and scaling as social enterprises in the form of non-profits, commercial operations, or open technologies.",1009948,Funded,9948-12,The Lemelson Foundation,0017000001LSVqsAAH,a2C39000002zYtNEAU
Development of Joint Villanova/UNI Courses for Developing Sustainable Technologies for Rural Nicaraguansoduct Development to Improve the Lives of Rural Nicaraguans,01239000000Ap02AAC,50000,Development of Joint Villanova/UNI Courses for Developing Sustainable Technologies for Rural Nicaraguansoduct Development to Improve the Lives of Rural Nicaraguans,Villanova University,32142,2012-10-31,2012-11-09,2018-08-31,2012-03-01,Type,Villanova University and Universidad Nicaragua de Ingenieria (UNI) have been collaborating on technology related to a tele-health system in rural Nicaragua as well as development of small enterprises. This proposal focuses on the development of a new set of courses offered jointly by Villanova and UNI to create teams of students to develop technologies and sustainable business concepts to improve the lives of rural Nicaraguans. Travel to rural Nicaragua to perform needs assessment will be done jointly between students from the two institutions. Villanova and UNI students will work collaboratively on the design of innovative technologies and development of conceptual business models. The result will be prototype technologies which will be used as the basis for e-Team grant applications for commercialization through business incubators at both Villanova University and at UNI.,1010027,Funded,10027-12,The Lemelson Foundation,0017000001LSWASAA5,a2C39000002zYtNEAU
Co-Creating Water & Sanitation Courses and Providing Immersive & Collaborative E-Team Learning Opportunities for ASU and IIT Delhi Students,01239000000Ap02AAC,50000,Co-Creating Water & Sanitation Courses and Providing Immersive & Collaborative E-Team Learning Opportunities for ASU and IIT Delhi Students,Arizona State University at the Polytechnic Campus,37040,2012-11-06,2012-11-09,2016-06-30,2013-03-01,Type,"The goal of this proposal is to co-create curriculum on  Global Water & Sanitation  Solutions  which would provide immersive experiences for students and potential entrepreneurs at both Arizona State University and Indian Institute of Technology, Delhi.        At ASU, GlobalResolve offers a minor in Social Entrepreneurship.  ASU Engineering is adding a concentration in Global Development that will include technology development courses on water and sanitation.  GlobalResolve, ASU has been working with unreached communities in several countries including India to develop and disseminate safe drinking water and innovative sanitation solutions, but with little in terms of courses and curriculum.  IIT Delhi has been working to increase the basket of available courses in the area of water, waste and sanitation. ASU Global Resolve and CRDT, IIT Delhi propose to synergise their strengths to develop courses as well as solutions in the WATSAN space.      In this proposal, ASU and IIT Delhi will work towards the following goals :     Co-creating curriculum for a joint course on  Global Water & Sanitation  Solutions  to be offered at both IIT Delhi and ASU.     Upscaling a biochar-based water purification unit for home use from proof of concept to the market     Continue developing a Microbial Fuel Cell Pit Toilet for energy from human excrements     Enhance performance of IIT Delhi patented Zerodor waterless urinal control trap,  rapid prototype and disseminate Zerodor in schools, hospitals and public places   ",1010074,Funded,10074-12,The Lemelson Foundation,0017000001LSVtoAAH,a2C39000002zYtNEAU
Innovative Design to Improve Public Health with a Global Perspective,01239000000Ap02AAC,48942,Innovative Design to Improve Public Health with a Global Perspective,Texas A & M University,43790,2012-11-06,2012-11-12,2016-08-31,2013-03-01,Type,"We propose a research and design program to develop and commercialize innovative solutions to global health challenges in resource-poor settings. E-Teams will be formed of undergraduate students, graduate student mentors, faculty advisors, and industry entrepreneurs. In collaboration with Engineering World Health (EWH), the program consists of two equally important components: academic design training in a laboratory setting at Texas A&M University and field evaluation, testing, and commercialization in Rwanda, Africa.       The main objectives of the program are to:       1. Enhance student design experience with a vertically-integrated, interdisciplinary, experiential learning focused research and design program for undergraduates. In addition to traditional design, prototyping, problem solving, and testing skills, the students will gain a global perspective of healthcare, technology, manufacturing, commercialization and human welfare.       2. Design and develop medical devices and technology specifically for the needs and conditions of developing country hospitals. In collaboration with EWH, members of the E-Teams will travel to Rwanda to participate in a) the needs identification to define the projects and design considerations, and b) the testing, implementation, translation to local manufacturing, and commercialization of products.       3. Impact global health and local economies in the developing world by addressing concrete challenges in resource-poor settings. This will have an immediate impact in Rwanda and other countries in EWH s direct global network. In addition to the broader impact on developing countries around the world, the technology developments have dual use in resource-poor settings in the developed world, such as in rural communities in the U.S.",1010075,Funded,10075-12,The Lemelson Foundation,0017000001LSVtbAAH,a2C39000002zYtNEAU
"Building New Programs in Invention, Innovation and Entrepreneurship in Food Security",01239000000Ap02AAC,50000,"Building New Programs in Invention, Innovation and Entrepreneurship in Food Security",Texas A & M University, ,2012-09-26,2012-11-07, , ,Type,"The course will be developed to introduce students to issues revolving around sustainable food systems, while implementing a problem-solving curriculum. Students from each university will be involved with the international travel component of the project, while depending on the enrollment (50 or higher from each university) will be involved in the foundation course, offered via distance web. The students will be selected based on an application process and delivery of project impacts, while a balanced multi-disciple team approach will be kept in the design of the teams. E-teams will serve to foster the mission of this grant by impacting student career choices to help promote science sustainably. The social impact will create an improved market for food production based on improved nutrition and agriculture production to help poverty. The environmental impact is to create a service of helping farmers and producers make improved choices in which they can grow food without having negative impacts on the environment practicing sustainable agricultural practices, with social, environmental and economic consistency. The project will use a CIPP evaluation to measure the attainment of the project s objectives. CIPP focuses on the context, input, process, and product of an evaluation as a systems approach. This project will examine the context of the students and farmers and the educational environments available in order to evaluate potential needs and instructional goals to address those needs. The context evaluation will also assess students and teachers perceptions of current active inquiry experiences and the current experiences with APP instructional tools.",1009888,Invited Resubmit,9888-12,The Lemelson Foundation,0017000001LSVtbAAH,a2C39000002zYtNEAU
Dual Training Labs for Clean Water and Renewable Energy,01239000000Ap02AAC,50000,Dual Training Labs for Clean Water and Renewable Energy,Baylor University, ,2012-10-10,2012-11-09, , ,Type,"This proposal reflects a partnership between Baylor University's School of Engineering and Computer Science, Baylor's Business School, and a prominent non-profit organization working in Haiti. Dual training labs are proposed to augment an existing course: Technology for Developing Countries (TDC).  The addition of lab equipment such as human-powered water pumps and solar energy systems will significantly enhance the quality and impact of the TDC class as well as result in the formation of multidisciplinary E-teams focused on the problems of the developing world. Design competitions with monetary prizes will encourage E-team formation. When combined with case studies describing how these existing technologies are being successfully used, these experiences will form a fertile ground in which new designs can flourish; we believe that tinkering and experimentation are required for innovation just as they are in other creative or artistic activities. One lab will be located near Baylor University. A second lab will be established in Haiti on land owned by the non-profit collaborator. Students from the class will have the opportunity to participate in short-term trips and summer internships to Haiti where they can gain both course credit and first-hand experience on real projects working alongside Haitian colleagues. Students may also participate in water well drilling projects in Haiti. A micro hydro electricity demonstration project will also be constructed in Haiti and be available as a teaching lab. Haitians will be recruited to join the E-teams, significantly strengthening their potential effectiveness.",1009981,Invited Resubmit,9981-12,The Lemelson Foundation,0017000001LSVn4AAH,a2C39000002zYtNEAU
Keystone Course: Appropriate Technology for Sustainable Development,01239000000Ap02AAC,49984,Keystone Course: Appropriate Technology for Sustainable Development,College of the Atlantic, ,2012-10-30,2012-11-09, , ,Type,"College of the Atlantic proposes to enhance its current sustainable business program by creating a new keystone course Appropriate Technology for Sustainable Development that connects student learning in basic science and business courses with the more experiential learning that occurs our new venture course and in our venture accelerator.   This course will:     Provide students with the practical skills necessary to adapt technology to meeting critical human needs in challenging populations through creation of a sustainable enterprise.     Expand our program s resource base through collaborations with international partner NGOs, creating a pipeline of projects and a base for field evaluation of innovations.     Train social entrepreneurs and foster the creation of new ventures with the power to help transform societies trapped in poverty.   The new course will be developed, taught, revised, and taught a second time during the project, allowing us to improve the instructional strategy, based on practical experience in the classroom and the marketplace.  We have the ability to move promising projects into our venture accelerator and allow our student entrepreneurs to actually work in their selected marketplaces.  Our global partners in the project are International Partners in Mission (IPM) and Sustainable Harvest International (SHI); they will provide our students with opportunity portfolios: critical human needs in impoverished populations. Our students will identify promising technologies and service innovations that can address selected needs, and develop an enterprise model that delivers the innovations to the targeted population. IPM and SHI will assist with field-testing innovations.   ",1010018,Invited Resubmit,10018-12,The Lemelson Foundation,0017000001LSVsjAAH,a2C39000002zYtNEAU
Dialogue of Innovation,01239000000Ap02AAC,50000,Dialogue of Innovation,Northeastern University, ,2012-11-03,2012-11-13, , ,Type,"This will be Cameroon s first program wherein students are positioned in identifying problems, exploring societal needs, understanding poverty constraints and developing engineering and business innovations to cultivate, advocate and possibly implement feasible solutions that can be scaled across target regions. The program will help students develop and/or implement field projects, focusing on local, national and international opportunities that promote innovations to improve the quality of life in specific communities. The Cameroon Christian University (CCU) in collaboration with the College of Engineering and College of Business at Northeastern University (NEU) in the U.S. will:   1. Establish a model for culture specific social innovation;   2. Introduce technology innovations through an engineering problem   solving methodology; and   3. Promote entrepreneurial development towards commercial innovations at home and abroad   This program will complement Northeastern University s Dialogue of Civilization program, wherein an interdisciplinary team twenty to thirty students will spend 6 weeks (from May 6 2013   June 15 2013) in Cameroon working alongside students of the Cameroon Christian University. The Dialogue of Innovation proposal will fund activities by the CCU students who worked with NEU students during the Dialogue of Civilization. This proposed grant would fund the students  innovation projects, the Cameroonians  airfare to the US to work with NEU counterparts during the summer, and the product development and commercialization process.    ",1010054,Invited Resubmit,10054-12,The Lemelson Foundation,0017000001LSVtXAAX,a2C39000002zYtNEAU
CCEW Social Entrepreneurship Program,01239000000Ap02AAC,40263,CCEW Social Entrepreneurship Program,University of Oklahoma Norman Campus, ,2012-11-03,2012-11-12, , ,Type,"The Center for the Creation of Economic Wealth (CCEW)'s Social Entrepreneurship program engages interdisciplinary students, researchers, and field and community partners to advance sustainable enterprises aimed at alleviating poverty. Rooted in CCEW's tradition of innovation and commercialization, the Social Entrepreneurship program aims to launch sustainable, scalable social ventures through the commercialization of ideas and technologies developed within the University of Oklahoma community. In the past 2 years, the program has supported 21 interdisciplinary student interns around commercialization projects in the global healthcare and energy sectors, moving two key technologies closer to market. In addition to these projects, the program hosts an annual Social Entrepreneurship Symposium and Workshop to raise awareness at OU and in the surrounding communities of Norman and Oklahoma City about the role of business in promoting international economic development.     To support the continued growth of the Social Entrepreneurship program, CCEW is requesting $40,263 in funding. This support will be used over 1 year to fund 1) a salary fraction of one full-time staff member to promote the growth of the Social Entrepreneurship program and drive the development of technology-based solutions for poverty alleviation at the University, 2) travel of interdisciplinary student teams to test proposed business models with field partners 3) other expenses related to the operations of the Social Entrepreneurship program including consultation with private sector mentors.  The expected impact resulting from this investment is a mature program which guides students, researchers and field and community partners as they commercialize University-developed technologies to alleviate poverty.",1010056,Invited Resubmit,10056-12,The Lemelson Foundation,0017000001MBMR5AAP,a2C39000002zYtNEAU
Connecting People and Developing Business Skills With Community ICT Networks,01239000000Ap02AAC,49500,Connecting People and Developing Business Skills With Community ICT Networks,University of Colorado at Boulder, ,2012-11-05,2012-11-12, , ,Type,"We propose an innovative way to develop a foundation for grassroots entrepreneurship and innovation while strengthening the community. To accomplish this we will build an ICT-based community network using inexpensive wireless equipment which will give residents of Kigali, Rwanda access to entrepreneurship resources. This community network will provide infrastructure and content to which would otherwise be unavailable or unaffordable.   Using the network we will offer entrepreneurial education at two levels.       Through the network, we will provide short entrepreneurship courses on how to start a business and develop a business plan.   On top of the community network, entrepreneurs can create applications that require minimal capital investment, leveraging the community network infrastructure. We will offer courses on developing and deploying such applications.     The project will be a collaboration between faculty at the University of Colorado Boulder (CU-Boulder), Carnegie Mellon University in Rwanda (CMU-R), and a UNESCO wireless group in Trieste, Italy. Three graduate students from CU-Boulder and five graduate students from CMU-R will participate. The students from CMU-R are local residents who will assist in bridging cultural and social barriers.   We will collaborate with the Rwanda Education Board, which has a program aimed at helping innovative ICT students create jobs. We will also leverage the growing entrepreneurial community in Kigali and give community members access to kLab, a resource which brings like-minded entrepreneurial innovators together.   The proposed outcomes include building a core pilot network in Kigali with approximately 50 people connected, educating approximately 20 entrepreneurs, and fostering an expected 10 start-up businesses.",1010068,Invited Resubmit,10068-12,The Lemelson Foundation,0017000001LSW2dAAH,a2C39000002zYtNEAU
