NAME,PROPOSAL_TOTAL_FUNDED_AWARD_AMOUNT__C,END_DATE_OF_FIRST_PROGRAM_COMPLETED__C,Zenn ID
Designing Technology Platforms for Youth in Uganda (Planning Grant),9700,2014-08-31,NA
Development of Joint Villanova/UNI Courses for Developing Sustainable Technologies for Rural Nicaraguansoduct Development to Improve the Lives of Rural Nicaraguans,32142,2018-08-31,NA
Co-Creating Water & Sanitation Courses and Providing Immersive & Collaborative E-Team Learning Opportunities for ASU and IIT Delhi Students,37040,2016-06-30,NA
Innovative Design to Improve Public Health with a Global Perspective,43790,2016-08-31,NA
"Building New Programs in Invention, Innovation and Entrepreneurship in Food Security",NA,NA,NA
Dual Training Labs for Clean Water and Renewable Energy,NA,NA,NA
Keystone Course: Appropriate Technology for Sustainable Development,NA,NA,NA
Dialogue of Innovation,NA,NA,NA
CCEW Social Entrepreneurship Program,NA,NA,NA
Connecting People and Developing Business Skills With Community ICT Networks,NA,NA,NA
Getting it Out There -- Actualization and Expansion of Work Already Done,NA,NA,NA
TIPeD Semester Course Grant,NA,NA,NA
SV RFP Test,NA,NA,NA
Design and Action for Rural Energy Solutions (the DARES Network),NA,NA,NA
Design for Scale,NA,NA,NA
Renewable Energy Curriculum Development Course for Tribal Colleges,NA,NA,NA
Tech Business Incubator: The Gambia,NA,NA,NA
Social Technology Exchange (STE),NA,NA,NA
Capacity Building for Solar Energy Entrepreneurship in Mozambique,NA,NA,NA
Multidisciplinary Social Entrepreneurship in Humanitarian Technology,NA,NA,NA
Social Entrepreneurship Concentration,NA,NA,NA
"Improving the Processing of Teff in the Village of Simbo, Ethiopia",NA,NA,NA
SSU Sustainable Vision Program,NA,NA,NA
US-Ugandan Energy Education E-Team,NA,NA,NA
GSVC Platform,NA,NA,NA
GSVC Boot Camp,NA,NA,NA
From Charity to Sustainability: Clean Water Distribution in the Dominican Republic,NA,NA,NA
E-Teams for Scalable and Sustainable Technological Irrigation in Peru,NA,NA,NA
Innovations for Energy Entrepreneurship,NA,NA,NA
Aquaponics and Sustainable Agriculture,NA,NA,NA
"Social Entrepreneurship and Infrastructure Capacity Building in Kanembwe Village, Rwanda",NA,NA,NA
Resilient Electricity Systems,NA,NA,NA
Global Citizen Project,NA,NA,NA
US-Ugandan Energy Education E-Team,NA,NA,NA
